종목명,시가총액,매수시간,매도시간,보유시간,매수가,매도가,매수금액,매도금액,수익률,수익금,수익금합계,매도조건,추가매수시간,B_현재가,B_등락율,B_당일거래대금,B_거래대금증감,B_체결강도,B_시가총액,B_회전율,B_전일동시간비,B_매수총잔량,B_매도총잔량,B_시분초,B_분봉시가,B_분봉고가,B_분봉저가,S_현재가,S_등락율,S_체결강도,S_매수총잔량,S_매도총잔량,R_매수후최고수익률,R_매수후최저수익률,R_MFE,R_MAE
대영포장,2211,202504100959,202504101104,65,2080,2035,998400,974762,-2.37,-23638,-23638,"elif 보유시간 > 10 and 현재가 < 최저현재가(30, 보유시간):",,2080.0,4.31,28397.0,-56298753304.0,99.31,2255.0,12.79,77.43,177017.0,509802.0,95900,2060.0,2080.0,2055.0,2040.0,2.31,93.52,224321.0,249929.0,0.03,-2.13,0.03,-2.13
한화시스템,64799,202504100959,202504101518,319,33450,34250,970050,991183,2.18,21133,-2505,전략종료청산,,33400.0,6.54,20754.0,-51106216025.0,102.89,63099.0,0.33,67.29,35801.0,61270.0,95900,33400.0,33450.0,33350.0,34300.0,9.41,140.02,62370.0,59431.0,2.63,-0.51,2.63,-0.51
일신석재,1770,202504100959,202504101010,11,2300,2275,1000500,987554,-1.29,-12946,-15451,"elif 보유시간 > 10 and 현재가 < 최저현재가(30, 보유시간):",,2295.0,6.0,15394.0,4532351701.0,100.22,1778.0,8.6,359.64,313516.0,126079.0,95900,2290.0,2305.0,2290.0,2285.0,5.54,95.25,299622.0,84728.0,0.22,-1.08,0.22,-1.08
벡트,688,202504101000,202504101015,15,5290,5020,999810,946793,-5.3,-53017,-68468,    elif 수익률 <= -5.0:,,5290.0,13.76,67944.0,42459759299.0,95.81,725.0,99.32,245.4,47351.0,50457.0,100000,5260.0,5350.0,5220.0,5020.0,7.96,89.6,91126.0,37697.0,0.0,-5.3,0.0,-5.3
자연과환경,1114,202504101001,202504101100,59,1032,981,998976,947619,-5.14,-51357,-119825,    elif 수익률 <= -5.0:,,1032.0,8.06,37031.0,-74440797362.0,102.8,1170.0,32.88,965.1,145723.0,305443.0,100100,1026.0,1040.0,1023.0,982.0,2.83,85.68,210766.0,82392.0,0.0,-5.04,0.0,-5.04
KBI동양철관,2253,202504101001,202504101119,78,1465,1429,1000595,973961,-2.66,-26634,-146459,"elif 보유시간 > 10 and 현재가 < 최저현재가(30, 보유시간):",,1464.0,7.57,227728.0,48384482596.0,91.15,2308.0,98.21,508.87,132139.0,224129.0,100100,1460.0,1468.0,1459.0,1429.0,5.0,86.88,349334.0,48580.0,1.08,-2.66,1.08,-2.66
경남스틸,2072,202504101001,202504101518,317,7870,7680,999490,973325,-2.62,-26165,-172624,전략종료청산,,7860.0,5.65,34103.0,-20706265760.0,102.98,2121.0,16.56,123.14,16743.0,71712.0,100100,7810.0,7880.0,7810.0,7680.0,3.23,92.17,18966.0,13726.0,1.82,-3.89,1.82,-3.89
크라우드웍스,1250,202504101002,202504101015,13,14750,13980,988250,934695,-5.42,-53555,-226179,    elif 수익률 <= -5.0:,,14730.0,12.02,24446.0,-70835104185.0,95.56,1317.0,19.25,38.96,3046.0,7560.0,100200,14300.0,14930.0,14300.0,13990.0,6.39,90.9,7896.0,4456.0,0.54,-5.35,0.54,-5.35
이수페타시스,20808,202504101002,202504101518,316,32850,32850,985500,983447,-0.21,-2053,-228232,전략종료청산,,32800.0,12.71,22508.0,-1356083825.0,189.05,20745.0,1.08,324.36,11126.0,47139.0,100200,32750.0,32800.0,32700.0,32900.0,13.06,193.02,29291.0,27434.0,1.46,-0.97,1.46,-0.97
대성창투,1508,202504101003,202504101025,22,2530,2790,999350,1099767,10.05,100417,-127815,    if 10 <= 수익률:,,2530.0,11.45,26579.0,7534130890.0,108.38,1366.0,19.58,242.31,74146.0,113828.0,100300,2500.0,2530.0,2495.0,2792.0,23.0,125.62,88630.0,230591.0,10.13,-1.0,10.13,-1.0
